Movie_Rank,Movie_Name,Worldwide_Gross,Domestic_Gross,Domestic_Percent,Foreign_Gross,Foreign_Percent
25,The Emperor's New Groove,"$169,327,687",89302687.0,52.7,80025000.0,47.3
26,Nutty Professor II: The Klumps,"$166,339,890",123309890.0,74.1,43030000.0,25.9
27,Scream 3,"$161,834,276",89143175.0,55.1,72691101.0,44.9
28,Chocolat,"$152,699,946",71509363.0,46.8,81190583.0,53.2
29,"Me, Myself & Irene","$149,270,999",90570999.0,60.7,58700000.0,39.3
30,The Beach,"$144,056,873",39785027.0,27.6,104271846.0,72.4
31,Remember the Titans,"$136,706,683",115654751.0,84.6,21051932.0,15.4
32,Pokémon the Movie 2000,"$133,949,270",43758684.0,32.7,90190586.0,67.3
33,Space Cowboys,"$128,884,132",90464773.0,70.2,38419359.0,29.8
34,U-571,"$127,666,415",77122415.0,60.4,50544000.0,39.6
35,The Family Man,"$124,745,083",75793305.0,60.8,48951778.0,39.2
36,Road Trip,"$119,754,278",68540777.0,57.2,51213501.0,42.8
37,Coyote Ugly,"$113,916,474",60786269.0,53.4,53130205.0,46.6
38,Final Destination,"$112,880,294",53331147.0,47.2,59549147.0,52.8
39,The Exorcist 2000 Director's Cut,"$112,053,066",39671011.0,35.4,72382055.0,64.6
40,Mission to Mars,"$110,983,407",60883407.0,54.9,50100000.0,45.1
41,The Kid,"$110,317,580",69691949.0,63.2,40625631.0,36.8
42,Billy Elliot,"$109,280,263",21995263.0,20.1,87285000.0,79.9
43,Shaft,"$107,196,498",70334258.0,65.6,36862240.0,34.4
44,The Whole Nine Yards,"$106,371,651",57262492.0,53.8,49109159.0,46.2
45,The Cell,"$104,155,843",61334059.0,58.9,42821784.0,41.1
46,Rugrats in Paris,"$103,291,131",76507756.0,74.1,26783375.0,25.9
47,Shanghai Noon,"$99,274,467",56937502.0,57.4,42336965.0,42.6
48,The Tigger Movie,"$96,159,800",45554533.0,47.4,50605267.0,52.6
49,The 6th Day,"$96,085,477",34604280.0,36.0,61481197.0,64.0
50,Romeo Must Die,"$91,036,760",55973336.0,61.5,35063424.0,38.5
51,Fantasia 2000,"$90,874,570",60655420.0,66.7,30219150.0,33.3
52,Autumn in New York,"$90,726,668",37761915.0,41.6,52964753.0,58.4
53,Bring It On,"$90,449,929",68379000.0,75.6,22070929.0,24.4
54,Bedazzled,"$90,383,208",37886980.0,41.9,52496228.0,58.1
55,Snatch,"$83,557,872",30328156.0,36.3,53229716.0,63.7
56,Men of Honor,"$82,343,495",48818921.0,59.3,33524574.0,40.7
57,Finding Forrester,"$80,049,764",51804714.0,64.7,28245050.0,35.3
58,The Road to El Dorado,"$76,432,727",50863742.0,66.5,25568985.0,33.5
59,"Dude, Where's My Car?","$73,180,723",46729800.0,63.9,26450923.0,36.1
60,"O Brother, Where Art Thou?","$71,868,327",45512588.0,63.3,26355739.0,36.7
61,Rules of Engagement,"$71,732,303",61335230.0,85.5,10397073.0,14.5
62,Frequency,"$68,106,245",45010278.0,66.1,23095967.0,33.9
63,Thirteen Days,"$66,579,890",34592089.0,52.0,31987801.0,48.0
64,Proof of Life,"$62,761,005",32598931.0,51.9,30162074.0,48.1
65,Snow Day,"$62,464,731",60020107.0,96.1,2444624.0,3.9
66,28 Days,"$62,198,945",37170488.0,59.8,25028457.0,40.2
67,Taxi 2,"$60,726,164",626164.0,1.0,60100000.0,99.0
68,Keeping the Faith,"$59,945,183",37047880.0,61.8,22897303.0,38.2
69,Next Friday,"$59,827,328",57328603.0,95.8,2498725.0,4.2
70,The Flintstones in Viva Rock Vegas,"$59,468,275",35268275.0,59.3,24200000.0,40.7
71,Little Nicky,"$58,292,295",39464775.0,67.7,18827520.0,32.3
72,Pay It Forward,"$55,707,411",33519628.0,60.2,22187783.0,39.8
73,Bounce,"$53,425,292",36805288.0,68.9,16620004.0,31.1
74,Pitch Black,"$53,187,659",39240659.0,73.8,13947000.0,26.2
75,Hanging Up,"$51,880,044",36050230.0,69.5,15829814.0,30.5
76,The Skulls,"$50,802,120",35046120.0,69.0,15756000.0,31.0
77,The Replacements,"$50,054,511",44737059.0,89.4,5317452.0,10.6
78,Book of Shadows: Blair Witch 2,"$47,737,094",26437094.0,55.4,21300000.0,44.6
79,Almost Famous,"$47,383,689",32534850.0,68.7,14848839.0,31.3
80,The Watcher,"$47,267,829",28946615.0,61.2,18321214.0,38.8
81,High Fidelity,"$47,126,295",27287137.0,57.9,19839158.0,42.1
82,Dracula 2000,"$47,053,625",33022767.0,70.2,14030858.0,29.8
83,The Gift,"$44,567,606",12008642.0,26.9,32558964.0,73.1
84,Where the Heart Is,"$40,863,718",33772838.0,82.6,7090880.0,17.4
85,Bless the Child,"$40,443,010",29381494.0,72.6,11061516.0,27.4
86,The Art of War,"$40,400,425",30208599.0,74.8,10191826.0,25.2
87,Dancer in the Dark,"$40,031,879",4184036.0,10.5,35847843.0,89.5
88,The Legend of Bagger Vance,"$39,459,427",30919168.0,78.4,8540259.0,21.6
89,Urban Legends: Final Cut,"$38,574,362",21468807.0,55.7,17105555.0,44.3
90,The Original Kings of Comedy,"$38,182,790",38182790.0,100.0,73995924.08,65.85
91,Titan A.E.,"$36,754,634",22753426.0,61.9,14001208.0,38.1
92,Return to Me,"$36,609,995",32722798.0,89.4,3887197.0,10.6
93,My Dog Skip,"$35,547,761",34134641.0,96.0,1413120.0,4.0
94,The Adventures of Rocky & Bullwinkle,"$35,134,820",26005820.0,74.0,9129000.0,26.0
95,American Psycho,"$34,266,564",15070285.0,44.0,19196279.0,56.0
